order_id,trade_signal_id,stock_tick,stock_id,country_id,time_frame,order_type,entry_price,stoploss_price,target_price,stock_quantity,purchased_cmp_date,purchased_on,order_status,is_trade_started,is_evaluated,entry_timestamp,completed_on,lstm_rf_model_prediction,lstm_rf_model_prob,arima_ab_model_prediction,arima_ab_model_prob,expiry_date
30061,NULL,COALINDIA,4225,1,3,BUY,441.411,436.643,459.95,100,2024-05-01T15:29,"2024-05-01 15:29:00","{'status': 'success', 'reason': 'Target hit', 'entry_hit': True, 'profit_amount': 1853.9, 'profit_pct': 4.2}",1,1,"2024-05-13 10:00:00","2024-05-15 09:15:00",NULL,NULL,NA,0,28-07-2026
30062,NULL,BHEL,4589,1,3,BUY,279.95,276.112,290.15,100,2024-05-01T15:29,"2024-05-01 15:29:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -383.8, 'loss_pct': -1.37}",1,1,"2024-05-09 14:30:00","2024-05-10 09:30:00",NULL,NULL,NA,0,29-09-2026
30063,NULL,BHEL,4401,1,3,BUY,279.95,276.112,290.15,100,2024-05-01T15:29,"2024-05-01 15:29:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -383.8, 'loss_pct': -1.37}",1,1,"2024-05-09 14:30:00","2024-05-10 09:30:00",NULL,NULL,NA,0,25-08-2026
30064,NULL,IOC,4275,1,3,BUY,166.75,164.444,176.1,100,2024-05-01T15:29,"2024-05-01 15:29:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -230.6, 'loss_pct': -1.38}",1,1,"2024-05-07 10:15:00","2024-05-07 11:15:00",NULL,NULL,NA,0,28-07-2026
30068,NULL,BHARTIARTL,4212,1,3,BUY,1332.35,1327.88,1354.65,100,2024-05-01T15:29,"2024-05-01 15:29:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -447.0, 'loss_pct': -0.34}",1,1,"2024-05-02 09:15:00","2024-05-02 10:00:00",NULL,NULL,NA,0,28-07-2026
30069,NULL,COFORGE,4226,1,3,BUY,990.023,974.57,1035.34,100,2024-05-01T15:29,"2024-05-01 15:29:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -1545.3, 'loss_pct': -1.56}",1,1,"2024-05-22 09:15:00","2024-05-22 10:00:00",NULL,NULL,NA,0,28-07-2026
30071,NULL,CIPLA,4600,1,3,SELL,1459.81,1489.87,1385.1,100,2024-05-01T15:29,"2024-05-01 15:29:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -3006.0, 'loss_pct': -2.06}",1,1,"2024-05-21 14:15:00","2024-05-22 12:00:00",NULL,NULL,NA,0,29-09-2026
30072,NULL,CIPLA,4412,1,3,SELL,1459.81,1489.87,1385.1,100,2024-05-01T15:29,"2024-05-01 15:29:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -3006.0, 'loss_pct': -2.06}",1,1,"2024-05-21 14:15:00","2024-05-22 12:00:00",NULL,NULL,NA,0,25-08-2026
30073,NULL,CIPLA,4224,1,3,BUY,1357.7,1352.96,1423.6,100,2024-05-01T15:29,"2024-05-01 15:29:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -474.0, 'loss_pct': -0.35}",1,1,"2024-05-10 14:30:00","2024-05-10 14:30:00",NULL,NULL,NA,0,28-07-2026
30074,NULL,GLENMARK,4245,1,3,BUY,1021.68,1016.57,1075,100,2024-05-01T15:29,"2024-05-01 15:29:00","{'status': 'failed', 'reason': 'Stoploss hit', 'entry_hit': True, 'loss_amount': -511.0, 'loss_pct': -0.5}",1,1,"2024-05-07 10:45:00","2024-05-07 11:30:00",NULL,NULL,NA,0,28-07-2026
