order_id,symbol,time_frame,order_type,entry_price,stoploss_price,target_price,stock_quantity,purchased_cmp_date,purchased_on,is_trade_started,is_evaluated,entry_timestamp,completed_on,status,reason,entry_hit,exit_leg,actual_filled_entry_price,actual_exit_price,OCO_confirmed_flag,engine_status,engine_error,engine_generated_setups_count,match_reason,zone_type,selected_zone_id,retest_count,penetration_pct,entry_tertile,freshness_status_at_emission,freshness_suppressed_by_g4,zone_state,quality_priority,age_class,zone_v38_score,gap_composite_score,selected_zone_source
164255,icicibank,1,BUY,1381.87,1360.25,1482.28,1.0,2026-08-03 13:22:00,2026-08-03 13:22:00,False,False,,,,,,UNKNOWN,1381.87,,UNKNOWN,OK,,0,NO_SAME_SIDE_SETUP,BZ,,10,0.0,3,NON_FRESH_BLOCK_BY_G4,True,RED,MEDIUM,FRESH,-10,0,raw_setup_payload.zones_X
164256,sun_pharma,1,BUY,1906.86,1865.74,2019.21,1.0,2026-08-03 13:22:00,2026-08-03 13:22:00,True,False,2026-08-17 11:01:00,,pending,Still active,True,UNKNOWN,1906.86,,UNKNOWN,OK,,1,PRICE_MATCH,BZ,TEST_X_BZ_1618,0,0.0,1,FRESH_PASS,False,GREEN,HIGH,FRESH,10,0,raw_setup_payload.zones_X
164257,britannia_industries,1,BUY,5154.22,5008.92,5640.5,1.0,2026-08-03 13:22:00,2026-08-11 17:10:00,False,False,,,,,,UNKNOWN,5154.22,,UNKNOWN,OK,,1,PRICE_MATCH,BZ,TEST_X_BZ_1622,0,0.0,3,FRESH_PASS,False,GREEN,MEDIUM,FRESH,10,0,raw_setup_payload.zones_X
164258,hdfcbank,2,BUY,741.91,733.58,760.38,1.0,2026-08-03 11:09:00,2026-08-11 11:10:00,True,True,2026-08-04 11:15:00,2026-08-05 12:15:00,failed,Stoploss hit,True,SL,741.91,733.58,UNKNOWN,OK,,1,PRICE_MATCH,GDZ,TEST_X_GDZ_3428,0,0.0,1,FRESH_PASS,False,GREEN,HIGH,FRESH,10,10,raw_setup_payload.zones_X
164260,tata_steel,2,BUY,179.869,176.987,193.31,1.0,2026-08-03 13:22:00,2026-08-03 13:23:00,False,False,,,,,,UNKNOWN,179.869,,UNKNOWN,OK,,1,PRICE_MATCH,BZ,TEST_X_BZ_3407,0,0.0,3,FRESH_PASS,False,GREEN,MEDIUM,FRESH,10,0,raw_setup_payload.zones_X
164261,icicibank,5,BUY,1409.91,1389.05,1458.73,1.0,2026-08-03 13:22:00,2026-08-03 13:23:00,True,False,2026-08-13 12:57:00,,pending,Still active,True,UNKNOWN,1409.91,,UNKNOWN,OK,,0,NO_SAME_SIDE_SETUP,SZ,,0,0.0,3,FRESH_PASS,False,RED,MEDIUM,FRESH,10,0,raw_setup_payload.zones_X
164262,sun_pharma,5,BUY,1880.12,1856.31,1958.03,1.0,2026-08-03 13:22:00,2026-08-03 13:23:00,True,False,2026-08-18 11:27:00,,pending,Still active,True,UNKNOWN,1880.12,,UNKNOWN,OK,,0,NO_SAME_SIDE_SETUP,BZ,,3,0.0,3,NON_FRESH_BLOCK_BY_G4,True,RED,MEDIUM,FRESH,4,0,raw_setup_payload.zones_X
164264,tata_steel,5,BUY,179.228,176.743,193.31,1.0,2026-08-03 13:22:00,2026-08-03 13:23:00,False,False,,,,,,UNKNOWN,179.228,,UNKNOWN,OK,,0,NO_SAME_SIDE_SETUP,BZ,,0,0.0,3,FRESH_PASS,False,GREEN,HIGH,FRESH,10,0,raw_setup_payload.zones_X
164265,ultratech_cement,5,BUY,11518.0,11324.9,12061.4,1.0,2026-08-03 13:22:00,2026-08-03 13:23:00,True,False,2026-08-18 15:00:00,,pending,Still active,False,UNKNOWN,11518.0,,UNKNOWN,OK,,1,SAME_SIDE_FALLBACK,BZ,TEST_X_BZ_1435,0,0.0,1,FRESH_PASS,False,GREEN,HIGH,FRESH,10,0,raw_setup_payload.zones_X
164266,tata_steel,25,BUY,182.323,180.448,193.31,1.0,2026-08-03 13:22:00,2026-08-03 13:23:00,True,False,2026-08-14 09:31:00,,pending,Still active,True,UNKNOWN,182.323,,UNKNOWN,OK,,0,NO_SAME_SIDE_SETUP,BZ,TEST_X_BZ_2456,0,0.0,3,FRESH_PASS,False,RED,HIGH,FRESH,10,0,raw_setup_payload.zones_X
164267,icicibank,6,BUY,1411.21,1390.91,1480.0,1.0,2026-08-03 13:22:00,2026-08-03 13:23:00,True,False,2026-08-13 12:51:00,,pending,Still active,True,UNKNOWN,1411.21,,UNKNOWN,OK,,1,SAME_SIDE_FALLBACK,BZ,TEST_X_BZ_7215,0,0.0,3,FRESH_PASS,False,GREEN,HIGH,FRESH,10,0,raw_setup_payload.zones_X
164268,sun_pharma,6,BUY,1890.83,1856.55,2033.4,1.0,2026-08-03 13:22:00,2026-08-03 13:23:00,True,False,2026-08-17 14:58:00,,pending,Still active,True,UNKNOWN,1890.83,,UNKNOWN,OK,,1,SAME_SIDE_FALLBACK,BZ,TEST_X_BZ_7128,0,0.0,1,FRESH_PASS,False,GREEN,HIGH,FRESH,10,0,raw_setup_payload.zones_X
164271,titan,1,BUY,4882.51,4799.31,5141.53,1.0,2026-08-04 17:41:00,2026-08-04 17:41:00,True,True,2026-08-05 05:30:00,2026-08-11 05:30:00,success,Target hit,True,TARGET,4882.51,5141.53,UNKNOWN,OK,,1,PRICE_MATCH,BZ,TEST_X_BZ_1636,0,0.0,1,FRESH_PASS,False,GREEN,HIGH,FRESH,10,0,raw_setup_payload.zones_X
164272,britannia_industries,2,BUY,5333.99,5224.96,5640.5,1.0,2026-08-04 17:41:00,2026-08-04 17:41:00,False,False,,,,,,UNKNOWN,5333.99,,UNKNOWN,OK,,0,NO_SAME_SIDE_SETUP,SZ,,0,0.0,3,FRESH_PASS,False,RED,MEDIUM,FRESH,10,0,raw_setup_payload.zones_X
164273,hindalco_industries,2,BUY,982.822,970.835,1050.8,1.0,2026-08-04 17:41:00,2026-08-04 17:41:00,False,False,,,,,,UNKNOWN,982.822,,UNKNOWN,OK,,1,SAME_SIDE_FALLBACK,GDZ,TEST_X_GDZ_3448,0,0.0,1,FRESH_PASS,False,GREEN,MEDIUM,FRESH,10,9,raw_setup_payload.zones_X
164274,hindustan_aeronautics,2,BUY,4482.61,4419.46,4687.23,1.0,2026-08-04 17:41:00,2026-08-04 17:41:00,False,False,,,,,,UNKNOWN,4482.61,,UNKNOWN,OK,,0,NO_SAME_SIDE_SETUP,BZ,,0,0.0,3,FRESH_PASS,False,RED,MEDIUM,FRESH,10,0,raw_setup_payload.zones_X
